TAZ,AGG_TAZ,PUMA,DISTRICT,REGION,SCHOOLDISTRICT
4011,40,15,2,1,1
4101,41,5,3,1,1
4102,41,999,999,1,1
4103,41,5,3,1,1
4104,41,5,3,1,1
4105,41,999,999,1,1
4201,42,5,3,1,1
4202,42,5,3,1,1
4301,43,999,999,1,1
4302,43,999,999,1,1
4303,43,999,999,1,1
4304,43,999,999,1,1
4305,43,999,999,1,1
4306,43,999,999,1,1
4307,43,5,3,1,1
4401,44,5,3,1,1
4402,44,5,3,1,1
4403,44,5,3,1,1
4404,44,5,3,1,1
4405,44,5,3,1,1
4406,44,5,3,1,1
4407,44,5,3,1,1
4501,45,5,3,1,1
4502,45,5,3,1,1
4503,45,5,3,1,1
4504,45,5,3,1,1
4505,45,5,3,1,1
4506,45,5,3,1,1
4507,45,5,3,1,1
4508,45,5,3,1,1
4601,46,5,3,1,1
4602,46,5,3,1,1
4603,46,5,3,1,1
4604,46,5,3,1,1
4605,46,5,3,1,1
4606,46,999,999,1,1
4607,46,5,3,1,1
4608,46,5,3,1,1
4611,46,5,3,1,1
4612,46,5,3,1,1
4701,47,9,5,1,1
4702,47,9,5,1,1
4703,47,5,3,1,1
4704,47,9,5,1,1
4705,47,5,3,1,1
4706,47,999,999,1,1
4707,47,999,999,1,1
4708,47,999,999,1,1
4709,47,9,5,1,1
4712,47,999,999,1,1
4713,47,999,999,1,1
4714,47,999,999,1,1
4715,47,999,999,1,1
4716,47,999,999,1,1
4717,47,4,3,1,1
4718,47,999,999,1,1
4801,48,999,999,1,1
4802,48,999,999,1,1
4803,48,999,999,1,1
4804,48,999,999,1,1
4805,48,999,999,1,1
4901,49,4,3,1,1
4902,49,4,3,1,1
4903,49,4,3,1,1
4904,49,4,3,1,1
4905,49,4,3,1,1
4906,49,4,3,1,1
4907,49,4,3,1,1
5001,50,999,999,1,1
5002,50,999,999,1,1
5003,50,999,999,1,1
5004,50,999,999,1,1
5101,51,14,2,1,1
5102,51,14,2,1,1
5103,51,14,2,1,1
5104,51,14,2,1,1
5105,51,14,2,1,1
5106,51,14,2,1,1
5107,51,14,2,1,1
5108,51,4,3,1,1
5109,51,999,999,1,1
5110,51,999,999,1,1
5111,51,14,2,1,1
5112,51,999,999,1,1
5201,52,14,2,1,1
5202,52,14,2,1,1
5203,52,14,2,1,1
5204,52,14,2,1,1
5205,52,14,2,1,1
5206,52,14,2,1,1
5207,52,14,2,1,1
5208,52,14,2,1,1
5209,52,14,2,1,1
5210,52,14,2,1,1
5211,52,14,2,1,1
5212,52,14,2,1,1
5213,52,14,2,1,1
5214,52,14,2,1,1
5301,53,15,2,1,1
5302,53,15,2,1,1
5303,53,4,3,1,1
5304,53,15,2,1,1
5305,53,15,2,1,1
5306,53,15,2,1,1
5307,53,15,2,1,1
5401,54,15,2,1,1
5402,54,15,2,1,1
5403,54,999,999,1,1
5404,54,15,2,1,1
5405,54,999,999,1,1
5406,54,999,999,1,1
5407,54,999,999,1,1
5408,54,15,2,1,1
5409,54,15,2,1,1
5501,55,999,999,1,1
5502,55,15,2,1,1
5503,55,15,2,1,1
5504,55,15,2,1,1
5505,55,15,2,1,1
5506,55,15,2,1,1
5601,56,999,999,1,1
5602,56,999,999,1,1
5603,56,999,999,1,1
5604,56,999,999,1,1
5605,56,9,5,1,1
5606,56,9,5,1,1
5701,57,4,3,1,1
5702,57,4,3,1,1
5703,57,4,3,1,1
5704,57,4,3,1,1
5705,57,4,3,1,1
5706,57,4,3,1,1
5707,57,4,3,1,1
5708,57,14,2,1,1
5801,58,14,2,1,1
5802,58,4,3,1,1
5803,58,4,3,1,1
5804,58,4,3,1,1
5805,58,14,2,1,1
5806,58,14,2,1,1
5807,58,14,2,1,1
5901,59,14,2,1,1
5902,59,14,2,1,1
5903,59,14,2,1,1
5904,59,999,999,1,1
5905,59,14,2,1,1
5906,59,14,2,1,1
5907,59,14,2,1,1
5908,59,14,2,1,1
6001,60,999,999,1,1
6002,60,7,3,1,1
6003,60,7,3,1,1
6004,60,999,999,1,1
6005,60,7,3,1,1
6006,60,7,3,1,1
6007,60,7,3,1,1
6008,60,7,3,1,1
6101,61,14,2,1,1
6102,61,14,2,1,1
6200,62,7,3,1,1
6201,62,7,3,1,1
6202,62,999,999,1,1
6203,62,7,3,1,1
6205,62,7,3,1,1
6206,62,7,3,1,1
6207,62,7,3,1,1
6208,62,7,3,1,1
6209,62,7,3,1,1
6210,62,7,3,1,1
6211,62,7,3,1,1
6212,62,7,3,1,1
6301,63,7,3,1,1
6302,63,7,3,1,1
6303,63,7,3,1,1
6304,63,7,3,1,1
6305,63,7,3,1,1
6306,63,7,3,1,1
6307,63,7,3,1,1
6308,63,7,3,1,1
6309,63,7,3,1,1
6310,63,7,3,1,1
6401,64,19,1,1,1
6402,64,19,1,1,1
6403,64,19,1,1,1
6501,65,999,999,1,1
6502,65,19,1,1,1
6503,65,19,1,1,1
6504,65,19,1,1,1
6505,65,19,1,1,1
6506,65,19,1,1,1
6507,65,19,1,1,1
6508,65,19,1,1,1
6509,65,19,1,1,1
6510,65,19,1,1,1
6511,65,19,1,1,1
6601,66,19,1,1,1
6602,66,19,1,1,1
6603,66,19,1,1,1
6604,66,19,1,1,1
6605,66,19,1,1,1
6606,66,19,1,1,1
6607,66,19,1,1,1
6608,66,19,1,1,1
6609,66,19,1,1,1
6610,66,19,1,1,1
6611,66,19,1,1,1
6701,67,999,999,1,1
6702,67,999,999,1,1
6703,67,999,999,1,1
6704,67,19,1,1,1
6705,67,19,1,1,1
6801,68,19,1,1,1
6802,68,19,1,1,1
6803,68,999,999,1,1
6901,69,999,999,1,1
6902,69,999,999,1,1
6903,69,999,999,1,1
6904,69,999,999,1,1
6905,69,999,999,1,1
6906,69,999,999,1,1
6907,69,999,999,1,1
6908,69,999,999,1,1
6909,69,999,999,1,1
6910,69,999,999,1,1
7001,700,8,5,1,2
7002,700,8,5,1,2
7003,700,8,5,1,2
7004,700,999,999,1,2
7011,701,8,5,1,2
7012,701,8,5,1,2
7013,701,8,5,1,2
7014,701,8,5,1,2
7021,702,8,5,1,2
7022,702,8,5,1,2
7023,702,8,5,1,2
7024,702,8,5,1,2
7025,702,8,5,1,2
7026,702,8,5,1,2
7027,702,8,5,1,2
7028,702,999,999,1,2
7031,703,8,5,1,2
7032,703,8,5,1,2
7033,703,8,5,1,2
7034,703,8,5,1,2
7035,703,999,999,1,2
7036,703,8,5,1,2
7041,704,8,5,1,2
7042,704,8,5,1,2
7043,704,999,999,1,2
7051,705,999,999,1,2
7052,705,8,5,1,2
7053,705,999,999,1,2
7060,706,999,999,1,2
7061,706,999,999,1,2
7062,706,999,999,1,2
7063,706,999,999,1,2
7064,706,8,5,1,2
7065,706,999,999,1,2
7101,710,999,999,1,0
7102,710,999,999,1,0
7103,710,999,999,1,0
7104,710,999,999,1,0
7211,721,999,999,1,0
7221,722,999,999,1,0
7222,722,999,999,1,0
7223,722,999,999,1,0
7231,723,999,999,1,0
7232,723,999,999,1,0
7233,723,999,999,1,0
7240,724,999,999,1,0
7241,724,999,999,1,0
7242,724,999,999,1,0
7243,724,999,999,1,0
7244,724,999,999,1,0
7245,724,999,999,1,0
7246,724,999,999,1,0
7247,724,999,999,1,0
7248,724,999,999,1,0
7249,724,999,999,1,0
7250,725,999,999,1,0
7251,725,999,999,1,0
7252,725,999,999,1,0
7253,725,999,999,1,0
7254,725,999,999,1,0
7255,725,999,999,1,0
7256,725,999,999,1,0
7301,730,12,5,1,3
7302,730,12,5,1,3
7310,731,12,5,1,4
7311,731,12,5,1,4
7312,731,12,5,1,4
7313,731,12,5,1,4
7321,732,12,5,1,5
7331,733,16,6,1,5
7341,734,12,5,1,6
7401,740,16,6,1,7
7402,740,16,6,1,7
7403,740,16,6,1,7
7404,740,16,6,1,7
7405,740,16,6,1,7
7406,740,16,6,1,7
7412,741,16,6,1,7
7413,741,16,6,1,7
7414,741,16,6,1,7
7415,741,16,6,1,7
7416,741,16,6,1,7
7417,741,16,6,1,7
7418,741,16,6,1,7
7419,741,999,999,1,7
7421,742,16,6,1,7
7501,750,9,5,1,8
7502,750,9,5,1,8
7503,750,9,5,1,8
7504,750,9,5,1,8
7511,751,9,5,1,9
7512,751,9,5,1,9
7513,751,999,999,1,9
7514,751,9,5,1,9
7521,752,9,5,1,10
7531,753,9,5,1,11
7601,760,9,5,1,12
7602,760,9,5,1,12
7603,760,9,5,1,12
7604,760,9,5,1,12
7605,760,9,5,1,12
7606,760,9,5,1,12
7611,761,9,5,1,12
7612,761,9,5,1,12
7613,761,9,5,1,12
7614,761,9,5,1,12
7615,761,999,999,1,12
7621,762,999,999,1,12
7622,762,999,999,1,12
7623,762,9,5,1,12
7624,762,9,5,1,12
7625,762,9,5,1,12
7626,762,9,5,1,12
7627,762,9,5,1,12
7628,762,9,5,1,12
7629,762,999,999,1,12
7631,763,9,5,1,13
7641,764,9,5,1,14
7642,764,9,5,1,14
7651,765,19,1,1,15
7652,765,19,1,1,15
7661,766,16,6,1,16
7701,770,8,5,1,17
